id_,date,week,business_distinct_code,business_area_code,rating,rating_n,timespent_min,timespent_max
ChIJS1TPDq2lfDURmwOS5a-VQME,2019-12-5,1,R,1001480,4.2,71,60,150
ChIJH1qeCheefDURKJVB0fwMpXU,2019-12-5,1,R,1001418,3.7,70,0,0
ChIJw00VJvadfDURUSvgXSrOWNA,2019-12-5,1,R,1001421,3.7,90,20,20
ChIJGZmBb4qdfDURgWVz_oM-Mqw,2019-12-5,1,R,1001422,3.7,57,90,180
ChIJbSlq2zSgfDURnnmkXNX2sD8,2019-12-5,1,R,1001450,3.9,141,20,20
ChIJC6tcxPyefDURetUuiSwbTJ4,2019-12-5,1,R,1001430,4.2,24,0,0
ChIJe8e-fPuefDURMskY-KDtHx8,2019-12-5,1,R,1001430,4.2,49,0,0
ChIJkYLVYvuefDURpay0tBo5dqs,2019-12-5,1,R,1001430,4.1,148,10,90
ChIJsWzPYvuefDUROMYxdn8m8xA,2019-12-5,1,R,1001430,4.2,2343,20,90
ChIJsWzPYvuefDURZpZgXUA5UBk,2019-12-5,1,R,1001430,4.2,2343,20,90
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,R,1001430,4.9,15,60,120
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJt0BDX_yefDUR_faHUc4ys8E,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJxV0U9vyefDURMw1ZJpIyIvI,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJ_VOCWfuefDURW2W-IFFMTiA,2019-12-5,1,R,1001430,3.8,267,0,0
ChIJt0BDX_yefDUROLDq9xKDdEs,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJRS47b_yefDUREjqJVI-QNOk,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJqV1GXvyefDURzGhrTIrMcsA,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJe6ydYPyefDURRHQt4L6S5Ac,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJt0BDX_yefDURcSadqVLmLIs,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJszWMBeWffDURpAFQjwTuOXg,2019-12-5,1,R,1001430,4.3,25,90,150
ChIJqV1GXvyefDURCeU5YsVn5gA,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJW7lTX_yefDURtEIZt54qROA,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJUaOwXfuefDURLoqqIwW1zMQ,2019-12-5,1,R,1001430,4.2,8198,60,180
ChIJzyfiXuOefDURPP_UR9e2hzs,2019-12-5,1,R,1001430,3.8,91,20,60
ChIJIYYwXPuefDUR8PvSLK21bX8,2019-12-5,1,R,1001430,4.2,1550,25,60
ChIJRwIIpvuefDURF4i65diMf6Q,2019-12-5,1,R,1001430,4.4,904,60,60
ChIJBcw-EtyffDURLAH6jQuYfGU,2019-12-5,1,R,1001430,4.2,1550,25,60
ChIJzw1EGouffDUR3Vd4rDv2QIw,2019-12-5,1,R,1001430,5.0,16,30,90
ChIJ50psXvyefDURw5NzFufktKA,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJr51AX_yefDURFH1tGvCPMEE,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJ0w5DX_yefDURdQtzh4qBXAk,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJr51AX_yefDURZeax1ijUEO0,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJ0w5DX_yefDURWoxeZfrb1qU,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJqV1GXvyefDUR-CVEGO8_0CQ,2019-12-5,1,R,1001430,3.9,1920,45,120
ChIJt3iSL3WhfDUR1qs3f81Hzv0,2019-12-5,1,R,1001457,3.9,81,25,25
ChIJrfAE4zyZfDURmJ9rmPHctdE,2019-12-5,1,R,1001393,4.2,222,25,25
ChIJxzV7B3iifDURJ1PDWqymQ64,2019-12-5,1,R,1001385,4.4,30,0,0
ChIJozS28cSYfDURk3pWr1Bz4sk,2019-12-5,1,R,1001387,4.4,485,30,30
ChIJMZDvqCiZfDURN4Xauo5INx4,2019-12-5,1,R,1001390,3.3,111,25,25
ChIJeaF70yWZfDURq9vm7SiAP0o,2019-12-5,1,R,1001391,4.2,3801,15,45
ChIJA6Vdxce_fDURQHHqdipnSPk,2019-12-5,1,R,1001364,4.2,743,15,45
ChIJkfLXPOSjfDURNRnT5Lc2FA8,2019-12-5,1,R,1001471,4.5,26,120,210
ChIJv3YjwvivfDURNuD4EYgW0Js,2019-12-5,1,R,1001488,4.4,197,15,90
ChIJS4tHvle6fDURGKhNTn4qnsE,2019-12-5,1,R,1001330,3.3,4,0,0
ChIJY0eLGKi8fDURwV7D6F73AjQ,2019-12-5,1,R,1001314,4.1,705,30,90
ChIJrdTioaq7fDUR6gr7lqncfno,2019-12-5,1,R,1001320,4.0,1,0,0
ChIJzfLbDfWifDURnJvO-r-c3tk,2019-12-5,1,R,1001273,4.2,132,0,0
ChIJWeC7jPSifDURzixegUEDcIM,2019-12-5,1,R,1001273,4.0,58,30,60
ChIJOwaWjPSifDURq6OwG3B7nmg,2019-12-5,1,R,1001273,4.3,112,30,30
ChIJsSfkAvSifDUR_flOoSPmbZI,2019-12-5,1,R,1001273,4.2,551,60,120
ChIJRaHeqfaifDURk7rYwufXWjw,2019-12-5,1,R,1001273,3.6,45,0,0
ChIJeT3PAvSifDUR48kbxGiIWcs,2019-12-5,1,R,1001273,3.5,6,30,90
ChIJscmpVfGifDUR2KXdnTmzErw,2019-12-5,1,R,1001273,4.2,551,60,120
ChIJnckPVvGifDURagV9mH-SrE4,2019-12-5,1,R,1001273,3.7,3,45,90
ChIJdZGPbfSifDUR-ZWrFAMwcWU,2019-12-5,1,R,1001273,3.5,126,25,90
ChIJjVbbJfSifDURbFH-qsMUktA,2019-12-5,1,R,1001273,4.0,201,0,0
ChIJ_XPyXCOjfDURI2iMHXWG8KM,2019-12-5,1,R,1001276,1.0,1,0,0
ChIJ8T7vpDyjfDURtXEg_scLkE0,2019-12-5,1,R,1001276,4.1,99,0,0
ChIJG_kFt72ifDURBbw5dG9tHiU,2019-12-5,1,R,1001264,3.8,263,10,60
ChIJT4ufVy-jfDURp7uVlPNYDKE,2019-12-5,1,R,1001268,4.4,10,15,15
ChIJoekAMDaifDURrtiKlFG2-7A,2019-12-5,1,R,1001291,4.5,28,30,60
ChIJDRZbJTaifDURMUPXrBAI0Is,2019-12-5,1,R,1001291,4.0,1111,25,60
ChIJ-_Kgf-2ifDURBgoGideqLsA,2019-12-5,1,R,1001291,4.0,1114,25,90
ChIJl6gnyEiifDURLSvt0GmFNLA,2019-12-5,1,R,1001292,4.1,213,0,0
ChIJDW1Ht0iifDUR5u11segN7d4,2019-12-5,1,R,1001292,4.1,547,45,60
ChIJqRibBMe8fDURB9-mcLSDQHw,2019-12-5,1,R,1001338,3.6,143,20,20
ChIJP9SWZwehfDUR9kGYFqtovj0,2019-12-5,1,D,1001034,3.8,321,0,0
