상권_구분_코드,상권_코드,상권_코드_명,keyword
R,1001453,낙성대시장,낙성대시장
R,1001454,봉천제일종합시장,봉천제일종합시장
R,1001474,도곡시장,도곡시장
R,1001475,강남개포시장,강남개포시장
R,1001412,화곡본동시장,화곡본동시장
R,1001413,까치산시장,까치산시장
R,1001414,송화골목시장,송화골목시장
R,1001452,중부시장,중부시장
R,1001415,방신전통시장,방신전통시장
R,1001416,공항시장,공항시장
R,1001423,독산동 우시장,독산동 우시장
R,1001424,남문시장,남문시장
R,1001425,푸른터시장,푸른터시장
R,1001426,대명시장,대명시장
R,1001427,현대시장,현대시장
R,1001428,박미시장,박미시장
R,1001429,은행나무시장,은행나무시장
R,1001470,강남시장_강남,강남시장강남
R,1001372,녹번시장,녹번시장
R,1001373,신응암시장,신응암시장
R,1001374,대림골목시장,대림골목시장
R,1001480,새마을시장,새마을시장
R,1001440,노량진중앙시장,노량진중앙시장
R,1001441,본동인정시장,본동인정시장
R,1001442,신노량진시장,신노량진시장
R,1001443,강남시장_동작,강남시장동작
R,1001444,상도전통시장,상도전통시장
R,1001445,영도시장,영도시장
R,1001446,성대시장,성대시장
R,1001375,증산종합시장,증산종합시장
R,1001376,수일시장,수일시장
R,1001460,관악신사시장,관악신사시장
R,1001461,신림종합시장,신림종합시장
R,1001462,강남골목시장,강남골목시장
R,1001463,신림중앙시장,신림중앙시장
R,1001464,삼성동시장,삼성동시장
R,1001465,신신림시장,신신림시장
R,1001466,미성동도깨비시장,미성동도깨비시장
R,1001467,우림시장,우림시장
R,1001437,영진시장A동,영진시장A동
R,1001438,우리시장,우리시장
R,1001439,대림중앙시장,대림중앙시장
R,1001417,구로시장,구로시장
R,1001418,남구로시장,남구로시장
R,1001419,가리봉시장,가리봉시장
R,1001420,고척근린시장,고척근린시장
R,1001421,개봉중앙시장,개봉중앙시장
R,1001422,오류시장,오류시장
R,1001476,풍납시장,풍납시장
R,1001477,마천시장,마천시장
R,1001478,방이시장,방이시장
R,1001479,석촌시장,석촌시장
R,1001396,목4동시장,목동시장
R,1001397,신영시장,신영시장
R,1001398,월정로시장,월정로시장
R,1001447,상도4동도깨비골목시장,상도동도깨비골목시장
R,1001448,흑석시장,흑석시장
R,1001449,남성사계시장,남성사계시장
R,1001451,사당시장,사당시장
R,1001468,남부종합시장,남부종합시장
R,1001469,양재시장,양재시장
R,1001407,등마루시장,등마루시장
R,1001408,신월중앙시장,신월중앙시장
U,1001494,종로·청계 관광특구,종로·청계 관광특구
R,1001450,남성역골목시장,남성역골목시장
U,1001495,잠실 관광특구,잠실 관광특구
U,1001496,강남 마이스 관광특구,강남 마이스 관광특구
U,1001491,이태원 관광특구,이태원 관광특구
U,1001492,명동 남대문 북창동 다동 무교동 관광특구,명동 남대문 북창동 다동 무교동 관광특구
U,1001493,동대문패션타운 관광특구,동대문패션타운 관광특구
A,1000334,삼양로93길,삼양로93길
A,1000354,덕릉로60길,덕릉로60길
A,1000355,도당로13가길,도당로13가길
A,1000356,도당로13바길,도당로13바길
A,1000357,도당로19길,도당로19길
A,1000358,도당로29길,도당로29길
A,1000364,도봉로156길,도봉로156길
A,1000365,도봉로169나길,도봉로169나길
A,1000366,도봉로181길,도봉로181길
A,1000367,도봉산4길,도봉산4길
A,1000368,도봉산길,도봉산길
A,1000039,명동길,명동길
A,1000040,삼일대로4길,삼일대로4길
A,1000662,독산로50길,독산로50길
A,1000835,청림3길,청림3길
A,1000836,행운1길,행운1길
A,1000527,목동중앙북로16길,목동중앙북로16길
A,1000528,목동중앙북로8길,목동중앙북로8길
A,1000288,오패산로4길,오패산로4길
A,1000315,노해로17길,노해로17길
A,1000316,노해로23길,노해로23길
A,1000106,성덕정17길,성덕정17길
A,1000107,성덕정길,성덕정길
A,1000108,성수이로18길,성수이로18길
A,1000522,목동로9길,목동로9길
A,1000523,목동중앙남로3가길,목동중앙남로3가길
A,1000524,목동중앙로13나길,목동중앙로13나길
A,1000525,목동중앙로3길,목동중앙로3길
A,1000753,사당로29길,사당로29길
A,1000842,원신길,원신길
A,1000843,소담길,소담길
A,1000658,금하로24길,금하로24길
A,1000659,남부순환로112길,남부순환로112길
A,1000660,독산로108길,독산로108길
A,1000661,독산로40길,독산로40길
A,1000171,답십리로23길,답십리로23길
A,1000172,답십리로56길,답십리로56길
A,1000173,답십리로60길,답십리로60길
A,1000174,답십리로63길,답십리로63길
A,1000197,장한로26가길,장한로26가길
A,1000198,장한로26길,장한로26길
A,1000199,장한로27가길,장한로27가길
A,1000200,장한로27길,장한로27길
A,1000150,면목로17길,면목로17길
A,1000151,아차산로40길,아차산로40길
A,1000770,여의대방로22길,여의대방로22길
A,1000771,여의대방로22나길,여의대방로22나길
A,1000772,여의대방로22카길,여의대방로22카길
A,1000773,여의대방로24길,여의대방로24길
A,1000633,구로중앙로19길,구로중앙로19길
A,1000872,서초대로4길,서초대로4길
A,1000873,서초대로64길,서초대로64길
A,1000176,답십리로68길,답십리로68길
A,1000177,답십리로69길,답십리로69길
A,1000178,답십리로72길,답십리로72길
A,1000179,망우로18가길,망우로18가길
A,1000180,망우로18길,망우로18길
A,1000181,망우로21길,망우로21길
A,1000183,무학로45길,무학로45길
A,1000184,사가정로13길,사가정로13길
A,1000185,사가정로23가길,사가정로23가길
A,1000186,사가정로2길,사가정로2길
A,1000187,서울시립대로16길,서울시립대로16길
A,1000188,서울시립대로29길,서울시립대로29길
A,1000347,한천로124나길,한천로124나길
A,1000222,겸재로29길,겸재로29길
A,1000223,겸재로36길,겸재로36길
A,1000224,겸재로54길,겸재로54길
A,1000329,삼양로24길,삼양로24길
A,1000232,동일로130길,동일로130길
A,1000233,동일로139가길,동일로139가길
A,1000234,동일로139길,동일로139길
A,1000634,구로중앙로28길,구로중앙로28길
A,1000635,구로중앙로34길,구로중앙로34길
A,1000119,왕십리로31길,왕십리로31길
A,1000120,왕십리로6길,왕십리로6길
A,1000121,용답29길,용답29길
A,1000122,용답중앙길,용답중앙길
A,1000123,장터길,장터길
A,1000182,무학로16길,무학로16길
A,1000341,오패산로52길,오패산로52길
A,1000226,공릉로2길,공릉로2길
A,1000227,답십리로75길,답십리로75길
A,1000248,면목로78길,면목로78길
A,1000249,봉우재로33길,봉우재로33길
A,1000251,봉화산로4길,봉화산로4길
A,1000252,봉화산로56길,봉화산로56길
A,1000253,사가정로42길,사가정로42길
A,1000254,사가정로54길,사가정로54길
A,1000255,신내로7가길,신내로7가길
A,1000363,도봉로152가길,도봉로152가길
A,1000235,동일로140길,동일로140길
A,1000236,동일로149길,동일로149길
A,1000237,동일로157길,동일로157길
A,1000654,가산로3길,가산로3길
A,1000655,가산로5길,가산로5길
A,1000656,금하로14길,금하로14길
A,1000657,금하로1길,금하로1길
A,1000124,청계천로10나길,청계천로10나길
A,1000077,한강대로104길,한강대로104길
A,1000078,한강대로15길,한강대로15길
A,1000102,사근동길,사근동길
A,1000103,상원12길,상원12길
A,1000104,상원길,상원길
A,1000105,서울숲2길,서울숲2길
A,1000250,봉화산로30길,봉화산로30길
A,1000936,학동로38길,학동로38길
A,1000609,개봉로11길,개봉로11길
A,1000610,개봉로17길,개봉로17길
A,1000505,토정로37길,토정로37길
A,1000506,효창원로93길,효창원로93길
A,1000974,동남로65길,동남로65길
A,1000739,동작대로17길,동작대로17길
A,1000740,동작대로29길,동작대로29길
A,1000741,동작대로33길,동작대로33길
A,1000742,동작대로35길,동작대로35길
A,1000743,동작대로7길,동작대로7길
A,1000744,등용로14길,등용로14길
A,1000844,강남대로23길,강남대로23길
A,1000712,선유서로25길,선유서로25길
A,1000511,곰달래로5길,곰달래로5길
A,1000512,남부순환로33길,남부순환로33길
A,1000513,남부순환로40길,남부순환로40길
A,1000514,남부순환로58길,남부순환로58길
A,1000515,남부순환로70길,남부순환로70길
A,1000516,남부순환로79길,남부순환로79길
A,1000922,삼성로69길,삼성로69길
A,1000923,삼성로75길,삼성로75길
A,1000924,선릉로121길,선릉로121길
A,1000925,선릉로132길,선릉로132길
A,1000926,선릉로133길,선릉로133길
A,1000927,선릉로146길,선릉로146길
A,1000597,양천로73가길,양천로73가길
A,1000799,남부순환로234길,남부순환로234길
A,1000471,마포대로12길,마포대로12길
A,1000472,마포대로20길,마포대로20길
A,1001006,천호대로197길,천호대로197길
A,1001007,천호대로219길,천호대로219길
A,1001008,천호옛14길,천호옛14길
A,1001009,천호옛길,천호옛길
A,1001010,풍성로37가길,풍성로37가길
A,1000787,국회단지길,국회단지길
A,1000543,중앙로32길,중앙로32길
A,1000564,강서로5나길,강서로5나길
A,1000565,강서로5라길,강서로5라길
A,1000566,강서로8길,강서로8길
A,1000567,개화동로23길,개화동로23길
