"골목상권 번호","골목상권 명","엑스좌표 값","와이좌표 값","시군구 코드","행정동 코드","기준 년월 코드"
"12051","동일로203가길","205671","460042","11350","11350625","201506"
"12052","한천로_B","202225","460296","11305","11305630","201506"
"12053","덕릉로57길","203316","460091","11320","11320512","201506"
"12054","한천로140길","202506","460292","11305","11305630","201506"
"13517","목동동로8길","188661","446365","11470","11470630","201506"
"13518","학동로88길","204618","446525","11680","11680580","201506"
"12207","삼선교로_A","200740","454166","11290","11290555","201506"
"12208","동소문로_C","200785","454394","11290","11290555","201506"
"12210","용마산로_A","208653","454526","11260","11260575","201506"
"12211","증산로15길","192286","454338","11380","11380640","201506"
"12419","퇴계로87길_B","201885","451929","11140","11140670","201506"
"12420","천호대로_C","204722","451789","11200","11200790","201506"
"12422","능동로_B","207403","451498","11215","11215750","201506"
"12423","월드컵북로6길_A","193067","451311","11440","11440710","201506"
"12424","마장로","203809","451929","11200","11200540","201506"
"12427","무학로_B","202816","451676","11200","11200535","201506"
"12428","장한로_C","206027","451704","11230","11230650","201506"
"12429","월드컵로36길","191526","451775","11440","11440730","201506"
"12640","올림픽로98길","211492","450080","11740","11740570","201506"
"12641","상암로_C","211083","450084","11740","11740580","201506"
"12642","아차산로7길_B","204838","449876","11200","11200690","201506"
"12645","강서로45길_A","185335","449834","11500","11500560","201506"
"12649","독서당로_B","202111","449796","11200","11200620","201506"
"12774","천호대로170길_B","211746","448345","11740","11740650","201506"
"12776","자양로15길","207082","448430","11215","11215820","201506"
"12755","천호대로_K","212038","448283","11740","11740660","201506"
"12756","목동중앙서로","188044","448199","11470","11470540","201506"
"12757","곰달래로13길_A","185438","448151","11470","11470560","201506"
"12758","강서로16길","186589","448167","11500","11500593","201506"
"12759","강서로12길","186540","448103","11500","11500593","201506"
"12167","종암로_A","202965","455545","11290","11290705","201506"
"12168","중랑역로_E","206885","455391","11260","11260610","201506"
"12188","은평로_C","192428","455572","11380","11380631","201506"
"12192","동일로_R","207026","456141","11260","11260600","201506"
"12500","다산로_D","201133","450840","11140","11140645","201506"
"12501","면목로_N","206644","450876","11215","11215730","201506"
"12504","신촌역로","194789","451028","11410","11410585","201506"
"12505","월드컵로_F","191636","451162","11440","11440700","201506"
"12416","양천로57길","187049","451487","11500","11500604","201506"
"12418","무학로6길","203043","451755","11200","11200535","201506"
"12717","연무장1길","204586","449352","11200","11200690","201506"
"12718","아차산로11길","205286","449591","11200","11200690","201506"
"12719","도화길","195725","449096","11440","11440585","201506"
"12723","화곡로_J","185900","449247","11500","11500615","201506"
"12631","청파로47길_B","197071","449450","11170","11170555","201506"
"12632","올림픽로_F","211125","449798","11740","11740610","201506"
"12635","서울숲4길","203879","449719","11200","11200660","201506"
"12637","장터길_A","201767","449811","11200","11200620","201506"
"12639","구천면로100길","215162","450044","11740","11740520","201506"
"12042","덕릉로60길","203515","459835","11320","11320513","201506"
"12043","한천로143길","202095","460053","11305","11305630","201506"
"11965","상계로1길","205402","462112","11350","11350720","201506"
"11966","해등로_B","203391","462031","11320","11320670","201506"
"11969","한글비석로20길_B","206570","462395","11350","11350624","201506"
"11970","상계로27길","206231","462184","11350","11350670","201506"
"11971","덕릉로83길","206609","462254","11350","11350624","201506"
"11972","도봉로_B","203644","462671","11320","11320690","201506"
"11974","노원로34길","205847","462618","11350","11350670","201506"
"12199","갈현로_D","192016","455485","11380","11380631","201506"
"12201","종암로_D","202867","455690","11290","11290705","201506"
"12203","망우로_F","209044","455697","11260","11260655","201506"
"12204","은평로11길","193247","455783","11380","11380580","201506"
"12206","홍은중앙로","195429","455402","11410","11410640","201506"
"13136","구로동로42길","189782","444370","11530","11530530","201506"
"12474","공항대로45길","187105","450815","11500","11500520","201506"
"12810","풍성로25길","210706","448545","11710","11710510","201506"
"12811","성덕정길_D","204895","448662","11200","11200670","201506"
"12812","새창로14길","196380","448690","11170","11170590","201506"
"12813","양재대로_E","212573","448884","11740","11740685","201506"
"12814","가로공원로","185004","448454","11470","11470560","201506"
"12816","자양로18길","207772","448855","11215","11215850","201506"
"12817","뚝섬로23길","205603","448684","11215","11215847","201506"
"12819","천중로40길","212290","448880","11740","11740685","201506"
"13056","상도로_A","194434","444829","11590","11590540","201506"
"13058","상도로_B","194295","444702","11590","11590560","201506"
"13059","백제고분로_F","208019","444788","11710","11710610","201506"
"13061","여의대방로_A","192992","444865","11560","11560690","201506"
"13062","도신로4길","190828","444663","11560","11560720","201506"
"13063","백제고분로_G","207816","444903","11710","11710610","201506"
"12650","강서로45길_B","185462","449797","11500","11500560","201506"
"12653","상암로_D","212946","449835","11740","11740530","201506"
"13519","국사봉1길","193959","444353","11590","11590550","201506"
"13520","덕릉로_F","203280","459905","11320","11320512","201506"
"13523","뚝섬로_C","205737","448585","11215","11215840","201506"
"13525","사당로16길_B","197553","442550","11590","11590650","201506"
"13527","동호로_B","200757","450497","11140","11140625","201506"
"13528","도봉로169나길","203867","464086","11320","11320521","201506"
"13531","올림픽로12길","207303","445324","11710","11710650","201506"
"13532","마천로51길","213460","444246","11710","11710550","201506"
"12958","도산대로","203941","447027","11680","11680565","201506"
"12959","언주로_B","203010","447333","11680","11680545","201506"
"12960","강동대로53길","211745","447192","11740","11740660","201506"
"12964","영중로_C","191580","447226","11560","11560535","201506"
"12806","뚝섬로27길","205814","448736","11215","11215847","201506"
"12808","선유로47길","190741","448453","11560","11560620","201506"
"12809","천호대로187길","212597","448444","11740","11740685","201506"
"13039","논현로_B","202719","445576","11680","11680521","201506"
"13041","양재대로_J","211300","445702","11710","11710570","201506"
"13042","도신로60길","192636","445781","11560","11560630","201506"
"13044","주흥길","201729","444954","11650","11650560","201506"
"13045","백제고분로33길","208712","444897","11710","11710600","201506"
"13046","고척로40길","186804","444758","11530","11530730","201506"
"13048","역삼로_A","204907","444818","11680","11680630","201506"
"13049","백제고분로_D","208240","444929","11710","11710610","201506"
"13050","백제고분로_E","207608","444921","11710","11710650","201506"
"13052","새말로_A","189748","444680","11530","11530560","201506"
"13053","경인로47길_A","188014","444764","11530","11530720","201506"
"13290","구로동로28길_A","190311","443597","11530","11530550","201506"
"13291","오류로8길_C","186093","443601","11530","11530780","201506"
"13294","동남로18길_B","211972","443796","11710","11710632","201506"
"13296","디지털로53길","191170","443540","11560","11560710","201506"
"13300","구로동로28길_B","189857","443484","11530","11530530","201506"
"13301","구로동로22길","189922","443357","11530","11530550","201506"
"13533","종암로22길","203174","455628","11290","11290705","201506"
"13534","까치산로_B","186954","450277","11500","11500591","201506"
"13537","오목로_G","187661","447279","11470","11470650","201506"
"13538","봉은사로_C","203642","445683","11680","11680531","201506"
"12991","선릉로132길","203743","446554","11680","11680565","201506"
"13491","시흥대로_J","191296","438906","11545","11545670","201506"
"13065","대림로_A","190968","444742","11560","11560720","201506"
"13067","상도로15길","194139","444779","11590","11590550","201506"
"13303","남부순환로333길","201809","442706","11650","11650510","201506"
"13305","서초대로24길","199415","442851","11650","11650600","201506"
"13307","사당로_B","197504","442844","11590","11590640","201506"
"13308","행운1길","196196","442810","11620","11620575","201506"
"13309","남부순환로_C","192903","442678","11620","11620685","201506"
"13115","사평대로55길","201796","445364","11650","11650560","201506"
"13116","새말로16길","190317","444992","11530","11530560","201506"
"13118","서래로_A","199759","444314","11650","11650581","201506"
"13119","상도로_J","195894","444193","11590","11590530","201506"
"13120","동남로_A","212197","444541","11710","11710570","201506"
"13121","삼성로63길","205238","444521","11680","11680630","201506"
"13123","여의대방로_C","192978","444255","11590","11590680","201506"
"13124","보라매로_A","193538","444275","11590","11590680","201506"
"13125","서래로_B","199941","444211","11650","11650581","201506"
"13126","가락로12길","209316","444509","11710","11710600","201506"
"13128","송이로_A","210563","444331","11710","11710620","201506"
"13130","도곡로_A","205739","444489","11680","11680610","201506"
"13465","대학길","194420","440928","11620","11620735","201506"
"13466","논현로11길","204119","441541","11650","11650652","201506"
"13367","방배천로6길","198593","442249","11650","11650610","201506"
"13414","우마길","190126","442591","11530","11530595","201506"
"13415","난우길","192824","441753","11620","11620765","201506"
"13418","논현로10길","204401","441689","11680","11680690","201506"
"13419","독산로85길","191315","441453","11545","11545630","201506"
"13310","사당로_C","197259","442830","11590","11590651","201506"
"13311","난곡로_A","192451","442711","11620","11620685","201506"
"13314","관악로_A","195934","442757","11620","11620615","201506"
"13315","사당로16가길_A","197410","442722","11590","11590650","201506"
"13467","독산로75길","191292","441087","11545","11545640","201506"
"13096","언주로107길","203276","445273","11680","11680640","201506"
"13616","삼선교로10길","200891","454213","11290","11290555","201506"
"13634","신원로3가길","193566","442413","11620","11620655","201506"
"13644","천호대로83길","205761","451715","11230","11230650","201506"
"13645","장한로_D","205994","452017","11230","11230650","201506"
"13646","답십리로66길","205824","452131","11230","11230650","201506"
"13647","답십리로_C","206031","452501","11230","11230650","201506"
"13648","장한로21길","206014","452340","11230","11230650","201506"
"13649","율곡로14길","200373","452809","11110","11110630","201506"
"13650","통일로69길","193561","456889","11380","11380570","201506"
"12823","동일로18길","206006","448740","11215","11215847","201506"
"12824","남부순환로_B","184748","448434","11470","11470580","201506"
"12825","남부순환로40길","184810","448330","11470","11470580","201506"
"12826","성안로_A","212043","448726","11740","11740685","201506"
"12739","이태원로_A","199062","448380","11170","11170650","201506"
"12742","월정로_A","185733","448018","11500","11500540","201506"
"12743","천호대로170길_A","211624","448030","11740","11740650","201506"
"12744","천호대로_J","212645","448202","11740","11740700","201506"
"13069","고척로_B","186710","444911","11530","11530730","201506"
"13070","경인로35길","186900","444769","11530","11530730","201506"
"13072","경인로47길_B","188169","444593","11530","11530720","201506"
"13073","구로중앙로28길","190069","444573","11530","11530560","201506"
"13074","상도로_D","194367","444956","11590","11590540","201506"
"12979","삼성로115길","204381","446121","11680","11680590","201506"
"12981","신목로5길","188761","446531","11470","11470630","201506"
"13316","도구로","198816","443053","11650","11650621","201506"
"13317","도림로_F","189965","442980","11530","11530550","201506"
