상권_코드_명,기준_년_코드,상권_코드,연령대_20_매출_건수,연령대_30_매출_건수,점포수
가락시장,8076,4004240,39030,67112,63
가산디지털단지역_1,14133,7007147,67045,88193,86
가산디지털단지역_2,16152,8008184,381708,496139,241
가산디지털단지역_3,16152,8008216,545667,668231,380
강남구 논현역_1,16152,8008736,190258,170961,202
강남구 논현역_2,16152,8008760,421368,372662,310
강남구 논현역_3,8076,4004400,24023,30852,26
강남구 논현역_4,14133,7007763,112654,143966,230
강남구 신사역_1,8076,4004456,31446,32901,60
강남구 신사역_2,14133,7007819,308676,231992,116
강서구청,16152,8009432,93288,80007,161
개봉동 현대아파트 인근,14133,7007343,21748,28621,67
건대입구역,10095,5005805,107893,85262,22
경희대학교,16152,8009952,309905,109960,145
고속터미널역,16152,8008688,951591,656198,243
공덕역,10095,5005850,29360,32404,33
관악구 사당역_1,14133,7007168,131702,111317,181
관악구 사당역_2,14133,7007154,171851,91973,106
관악구 사당역_3,16152,8008136,197993,98110,82
교대역_1,16152,8008400,219524,279657,402
교대역_2,16152,8008456,167906,144305,139
교대역_3,14133,7007413,65857,82448,82
교대역_4,16152,8008504,58513,91875,119
구로디지탈1단지,16152,8008304,630311,797285,385
구로디지털단지역,6057,3003078,1686,4407,42
구로역,14133,7007532,31801,44246,60
국회의사당역_1,14133,7007994,42341,51048,69
국회의사당역_2,16152,8009152,191995,259095,319
남영역,16152,8009344,127389,81389,84
당산역_1,12114,6006918,381709,240862,60
당산역_2,10095,5005790,31813,29668,61
대림역_1,16152,8008512,21122,27992,40
대림역_2,12114,6006444,34323,54506,44
도산공원사거리_1,14133,7007840,42359,59642,77
동대문시장_1,12114,6007266,157396,113500,111
동대문시장_2,6057,3003654,7385,6066,18
동대문역사문화공원역,14133,7008435,87177,84284,169
동묘앞역,14133,7008554,25876,28239,33
동작구 총신대입구역_1,16152,8008360,268987,200341,181
동작구 총신대입구역_2,16152,8008344,31575,34536,78
등나무근린공원 주변,12114,6007548,38991,39256,28
등촌역,8076,4004696,8696,11293,31
디지털미디어시티,16152,8009912,336678,405369,365
롯데백화점,16152,8009616,171906,177736,90
매봉역,10095,5005175,26567,37174,65
명동거리,16152,8009624,776014,602732,527
목동사거리,10095,5005740,13738,17640,19
문래동 주민센터,14133,7007826,95139,116520,62
문정역,6057,3003108,7538,8397,13
미아사거리_1,4038,2002492,1648,2937,10
미아사거리_2,8076,4004988,2300,2947,23
방배동카페골목,12114,6006366,39987,46347,92
방이동 먹자골목,14133,7007749,207776,144870,208
뱅뱅사거리,14133,7007336,117503,109880,91
뱅뱅사거리_1,10095,5005235,24994,31276,39
뱅뱅사거리_2,14133,7007364,136291,174138,178
보라매공원,16152,8008408,214673,304637,234
북창동,16152,8009600,140153,173614,233
삼성역_1,16152,8008704,132804,199668,190
삼성역_2,12114,6006546,56593,89655,51
삼성역_3,12114,6006624,93445,121700,78
삼정역_1,6057,3003267,16799,28120,21
삼정역_2,12114,6006540,34896,38246,51
